ATTRIBUTE_AcquisitionDate	ATTRIBUTE_AnimalModel	ATTRIBUTE_IngExp	ATTRIBUTE_SampleType	ATTRIBUTE_Time	G1	G2	G3	G4	G5	G6	GNPSGROUP:0h	GNPSGROUP:1h	GNPSGROUP:2020.05.12	GNPSGROUP:2020.05.25	GNPSGROUP:2h	GNPSGROUP:30min	GNPSGROUP:4h	GNPSGROUP:Dog	GNPSGROUP:Dog_4h	GNPSGROUP:Dog_Blank	GNPSGROUP:Human	GNPSGROUP:Human_0h	GNPSGROUP:Human_1h	GNPSGROUP:Human_2h	GNPSGROUP:Human_30min	GNPSGROUP:Human_4h	GNPSGROUP:Human_Blank	GNPSGROUP:Human_NoNGS	GNPSGROUP:Monkey	GNPSGROUP:Monkey_4h	GNPSGROUP:Monkey_Blank	GNPSGROUP:Mouse	GNPSGROUP:Mouse_4h	GNPSGROUP:Mouse_Blank	GNPSGROUP:Rat	GNPSGROUP:Rat_4h	GNPSGROUP:Rat_Blank	GNPSGROUP:blank	GNPSGROUP:control	GNPSGROUP:nan	GNPSGROUP:sample	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
2020.05.12	Human	Human_Blank,Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,blank,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	115944613.02105962	57314586.78959917	70189476.71131968	0.0	47673615.29423318	64828279.81784303	39037565.37453505	0.0	0.0	0.0	70189476.71131968	115944613.02105962	57314586.78959917	47673615.29423318	64828279.81784303	39037565.37453505	19477.344258473702	166508199.33770925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19477.344258473702	166508199.33770925	83263838.34098387	64959732.05945401	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1.0","main.cluster index_upperinput":"1.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=6503586434ac4148b7299a86df6f85d3&show=true	N/A	SildenafilCitrate	0.77253	17.3029	17.3029	0	N/A	CCMSLIB00000004805	1473979010.9377131	21	1	2	21	475.2125	1	475.2125	1473979010.9377131
2020.05.12	Human	Human_Blank,Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,blank,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	41092436.52375103	70082159.46374461	19187333.2256942	0.0	8476036.165176649	2635105.2086606836	906436.128631593	0.0	0.0	0.0	19187333.2256942	41092436.52375103	70082159.46374461	8476036.165176649	2635105.2086606836	906436.128631593	6255677.87720987	4863481.2126849415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6255677.87720987	4863481.2126849415	5559579.544947406	24638434.697992913	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=6503586434ac4148b7299a86df6f85d3&show=true	N/A	Spectral Match to 1,2-Dilinoleoyl-sn-glycero-3-phosphocholine from NIST14	0.889259	36.9855	36.9855	0	N/A	CCMSLIB00003134965	402933997.73957807	21	2	3	21	782.5658	1	782.5658	402933997.73957807
2020.05.12	Human	Human_Blank,Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,blank,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	27622492.628536653	26605248.417170256	26761888.11681932	0.0	27601923.601487786	26542630.615947966	25681792.600194614	0.0	0.0	0.0	26761888.11681932	27622492.628536653	26605248.417170256	27601923.601487786	26542630.615947966	25681792.600194614	26187574.991934046	27091553.96246391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26187574.991934046	27091553.96246391	26639564.477198977	26810817.572667453	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3.0","main.cluster index_upperinput":"3.0"}	This Node is a Singleton	N/A	N/A	N/A	1.7956	1.7956	0	N/A	N/A	561999650.4532057	21	3	-1	21	381.0792	1	381.0792	561999650.4532057
2020.05.12	Human	Human_Blank,Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,blank,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	31221140.434599914	14856931.782919379	17779764.758428402	0.0	11672248.313328784	17175282.33446786	8582707.16283078	0.0	0.0	0.0	17779764.758428402	31221140.434599914	14856931.782919379	11672248.313328784	17175282.33446786	8582707.16283078	214.50754610696814	40949828.77330598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	214.50754610696814	40949828.77330598	20475021.640426047	16701662.005629344	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4.0","main.cluster index_upperinput":"4.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=6503586434ac4148b7299a86df6f85d3&show=true	N/A	SildenafilCitrate	0.811117	17.3043	17.3043	0	N/A	CCMSLIB00000004808	373375059.9269964	19	4	5	19	949.4178	1	949.4178	373375059.9269964
2020.05.12	Human	Human_Blank,Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,blank,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	46564.237209271836	12840664.237484034	7561666.292285032	0.0	14806929.098177085	10177456.59760326	15039083.693762915	0.0	0.0	0.0	7561666.292285032	46564.237209271836	12840664.237484034	14806929.098177085	10177456.59760326	15039083.693762915	418.52892625935937	20547.652832397434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.52892625935937	20547.652832397434	10483.090879328396	10582139.572847312	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5.0","main.cluster index_upperinput":"5.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=6503586434ac4148b7299a86df6f85d3&show=true	N/A	N/A	N/A	12.5735	12.5735	0	N/A	N/A	158794992.13798562	20	5	2	20	449.1971	1	449.1971	158794992.13798562
2020.05.12	Human	Human_Blank,Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,blank,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	615842.377183125	14804222.988429585	8800590.472207459	0.0	16283768.295812167	13095953.872893479	16530913.176509269	0.0	0.0	0.0	8800590.472207459	615842.377183125	14804222.988429585	16283768.295812167	13095953.872893479	16530913.176509269	1323.9979742431817	272108.5966503399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1323.9979742431817	272108.5966503399	136716.29731229154	12266140.142165525	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6.0","main.cluster index_upperinput":"6.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=6503586434ac4148b7299a86df6f85d3&show=true	N/A	N/A	N/A	18.8035	18.8035	0	N/A	N/A	184812399.91635665	21	6	2	21	491.2074	1	491.2074	184812399.91635665
2020.05.12	Human	Human_Blank,Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,blank,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	1368123.3700528978	42385028.99603472	42775292.026916936	0.0	146227560.79797992	34471839.484478965	57203542.69731264	0.0	0.0	0.0	42775292.026916936	1368123.3700528978	42385028.99603472	146227560.79797992	34471839.484478965	57203542.69731264	1588632.2183382148	16182316.624221202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1588632.2183382148	16182316.624221202	8885474.421279708	56331219.06917183	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7.0","main.cluster index_upperinput":"7.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=6503586434ac4148b7299a86df6f85d3&show=true	N/A	Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14	0.9102819999999999	36.9999	36.9999	0	N/A	CCMSLIB00003138207	898281132.5652559	21	7	3	21	810.5971	1	810.5971	898281132.5652559
2020.05.12	Human	Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	423232.6277243049	10306257.27765786	6043834.715094421	0.0	11270091.429581018	9291404.061824925	10963188.646050064	0.0	0.0	0.0	6043834.715094421	423232.6277243049	10306257.27765786	11270091.429581018	9291404.061824925	10963188.646050064	0.0	52668.96282277415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52668.96282277415	26334.481411387074	8450834.808567634	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8.0","main.cluster index_upperinput":"8.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=6503586434ac4148b7299a86df6f85d3&show=true	N/A	N/A	N/A	17.2147	17.2147	0	N/A	N/A	126920529.01698285	18	8	2	18	461.1972	1	461.1972	126920529.01698285
2020.05.12	Human	Human_Blank,Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,blank,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	7377284.428994154	7358171.472915028	7456351.084504978	0.0	7426535.741573888	7446875.088750045	7611564.177174474	0.0	0.0	0.0	7456351.084504978	7377284.428994154	7358171.472915028	7426535.741573888	7446875.088750045	7611564.177174474	7231020.677945944	7743006.004181314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7231020.677945944	7743006.004181314	7487013.341063629	7444086.181881518	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9.0","main.cluster index_upperinput":"9.0"}	This Node is a Singleton	N/A	N/A	N/A	34.2272	34.2272	0	N/A	N/A	156583372.77460453	21	9	-1	21	616.4603	1	616.4603	156583372.77460453
2020.05.12	Human	Human_Blank,Human_4h,Human_30min,Human_0h,Human_2h,Human_NoNGS,Human_1h	control,blank,sample	0h,30min,4h,1h,nan,2h	0.0	0.0	0.0	0.0	0.0	0.0	5329279.182846639	6306367.492988244	6347100.793319611	0.0	6269164.311946587	6331293.252626914	6604445.834139034	0.0	0.0	0.0	6347100.793319611	5329279.182846639	6306367.492988244	6269164.311946587	6331293.252626914	6604445.834139034	5366564.409580127	8222591.069109732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5366564.409580127	8222591.069109732	6794577.739344929	6168110.0149094835	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6503586434ac4148b7299a86df6f85d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10.0","main.cluster index_upperinput":"10.0"}	This Node is a Singleton	N/A	N/A	N/A	34.4932	34.4932	0	N/A	N/A	133289116.65971181	21	10	-1	21	674.4988	1	674.4988	133289116.65971181
