	s200512_1h_01.mzXML	s200512_0h_01.mzXML	s200512_0h_03.mzXML	s200512_0h_02.mzXML	s200512_1h_02.mzXML	s200512_2h_01.mzXML	s200512_1h_03.mzXML	s200512_2h_02.mzXML	s200512_4h_01.mzXML	s200512_4h_02.mzXML	s200512_2h_03.mzXML	s200512_4h_03.mzXML	s200512_30m_01.mzXML	s200512_30m_02.mzXML	s200512_Blank_01.mzXML	s200512_30m_03.mzXML	s200512_NoNGS_02.mzXML	s200512_NoNGS_01.mzXML	s200512_Blank_03.mzXML	s200512_Blank_02.mzXML	s200512_NoNGS_03.mzXML
s200512_1h_01.mzXML	0	0.479493257314649	0.493267715762916	0.533721098129708	0.0307896072276744	0.0755698294560477	0.0080809541649127	0.109690132595096	0.154370370522441	0.152364326554346	0.0843165531904001	0.161004685727043	0.0906678086965067	0.0850328071984142	0.999703507664559	0.0903512383540412	0.585739352784259	0.59671389133226	0.999022036049344	0.999852025794472	0.616766941770962
s200512_0h_01.mzXML	0.479493257314649	0	0.0249574263436878	0.0836045413811499	0.458720111376851	0.540657129135451	0.475880005037592	0.576202429270973	0.612735239527035	0.634067193603982	0.548802334726123	0.620286283220744	0.403713594388315	0.408002735572408	0.999704367520274	0.403233617160625	0.189335789170822	0.211557586759772	0.998981862338927	0.999847002976789	0.250681995384232
s200512_0h_03.mzXML	0.493267715762916	0.0249574263436878	0	0.0583474716684246	0.47284465817502	0.553017603823127	0.489688128216527	0.587820294179754	0.6235415441361	0.645036657273029	0.56100088274855	0.630963768252593	0.419138787514876	0.423313043071622	0.999717460443803	0.418661599055139	0.165029815604312	0.187508945911675	0.999040177040442	0.999852767832525	0.227105687390832
s200512_0h_02.mzXML	0.533721098129708	0.0836045413811499	0.0583474716684246	0	0.513734574564486	0.591120772805341	0.530140934276686	0.624788850077434	0.659201991339961	0.681976809710652	0.598867670248031	0.666477116799427	0.462216198643275	0.466184622334718	0.999736963705425	0.461735311032634	0.111226196280389	0.134982111389139	0.999138146375555	0.999885641932873	0.175144195361162
s200512_1h_02.mzXML	0.0307896072276744	0.458720111376851	0.47284465817502	0.513734574564486	0	0.10145634733885	0.0287302038466537	0.134428437464264	0.17855944827053	0.178664849896717	0.109978227133008	0.18505042183198	0.0760147560613821	0.0715131998624487	0.999708111832343	0.0757622905800271	0.567690468369815	0.579084964361472	0.999037217552999	0.999854323823132	0.599857249863703
s200512_2h_01.mzXML	0.0755698294560477	0.540657129135451	0.553017603823127	0.591120772805341	0.10145634733885	0	0.0771862530090137	0.0337872619767614	0.0800617355715695	0.0940742918696914	0.0107760049829559	0.0847799466743903	0.165139708089448	0.159233679680144	0.999706174980863	0.164944322359623	0.636360113650825	0.645912437667516	0.999030831076799	0.999853357103966	0.663535225510417
s200512_1h_03.mzXML	0.0080809541649127	0.475880005037592	0.489688128216527	0.530140934276686	0.0287302038466537	0.0771862530090137	0	0.110604830625828	0.156080567693093	0.155736583881183	0.0865798825044276	0.161776593857233	0.0890179965099796	0.0836320282546112	0.999705498442396	0.088836403489609	0.582420814798695	0.593455383526991	0.999028600299745	0.999853019430615	0.613611574867652
s200512_2h_02.mzXML	0.109690132595096	0.576202429270973	0.587820294179754	0.624788850077434	0.134428437464264	0.0337872619767614	0.110604830625828	0	0.0487309716745428	0.0833027563322117	0.0268584644649208	0.0535602068617412	0.199495654980078	0.193523122401353	0.999703986447506	0.199282049521733	0.666300532227616	0.675062887778823	0.999023614751714	0.999852264764492	0.691335677693345
s200512_4h_01.mzXML	0.154370370522441	0.612735239527035	0.6235415441361	0.659201991339961	0.17855944827053	0.0800617355715695	0.156080567693093	0.0487309716745428	0	0.0616897591757233	0.0706723887968994	0.00983907252257738	0.244102127881705	0.238072340937751	0.999704045769151	0.243865833493033	0.69675370507511	0.704681942407194	0.999023810354503	0.999852294373093	0.719529294481286
s200512_4h_02.mzXML	0.152364326554346	0.634067193603982	0.645036657273029	0.681976809710652	0.178664849896717	0.0940742918696914	0.155736583881183	0.0833027563322117	0.0616897591757233	0	0.0904464911999093	0.05806088040701	0.24467059581619	0.238269017126996	0.999665136914534	0.244419442958131	0.718728129130016	0.726425348848405	0.998895520914279	0.999832874009258	0.740889698517545
s200512_2h_03.mzXML	0.0843165531904001	0.548802334726123	0.56100088274855	0.598867670248031	0.109978227133008	0.0107760049829559	0.0865798825044276	0.0268584644649208	0.0706723887968994	0.0904464911999093	0	0.0769725015452981	0.173706416872946	0.167831592083157	0.999705302084027	0.173498339833372	0.643275332807079	0.652650526419725	0.999027952840175	0.999852921424357	0.669970564603388
s200512_4h_03.mzXML	0.161004685727043	0.620286283220744	0.630963768252593	0.666477116799427	0.18505042183198	0.0847799466743903	0.161776593857233	0.0535602068617412	0.00983907252257738	0.05806088040701	0.0769725015452981	0	0.251049144433987	0.244988408920591	0.999701882526912	0.250808441150499	0.703306195275585	0.711078468656253	0.999016677457383	0.999851214655762	0.725659967769772
s200512_30m_01.mzXML	0.0906678086965067	0.403713594388315	0.419138787514876	0.462216198643275	0.0760147560613821	0.165139708089448	0.0890179965099796	0.199495654980078	0.244102127881705	0.24467059581619	0.173706416872946	0.251049144433987	0	0.0057066298188746	0.99970472763432	0.00288830542032726	0.52235594507654	0.535044672928541	0.999026058688008	0.999852634705351	0.558027655520487
