	s200525_Dog_4h_02.mzXML	s200525_Dog_Blank_01.mzXML	s200525_Dog_4h_01.mzXML	s200525_Dog_4h_03.mzXML	s200525_Dog_Blank_02.mzXML	s200525_Dog_Blank_03.mzXML	s200525_HUMAN_4h_01.mzXML	s200525_HUMAN_4h_02.mzXML	s200525_HUMAN_Blank_02.mzXML	s200525_HUMAN_Blank_01.mzXML	s200525_HUMAN_Blank_03.mzXML	s200525_HUMAN_4h_03.mzXML	s200525_Mk_4h_03.mzXML	s200525_Mk_4h_01.mzXML	s200525_Mk_Blank_01.mzXML	s200525_Mk_4h_02.mzXML	s200525_Mou_4h_01.mzXML	s200525_Mou_4h_02.mzXML	s200525_Mk_Blank_02.mzXML	s200525_Mk_Blank_03.mzXML	s200525_Mou_Blank_02.mzXML	s200525_Mou_Blank_01.mzXML	s200525_Mou_4h_03.mzXML	s200525_Mou_Blank_03.mzXML	s200525_Rat_4h_02.mzXML	s200525_Rat_Blank_01.mzXML	s200525_Rat_4h_03.mzXML	s200525_Rat_4h_01.mzXML	s200525_Rat_Blank_03.mzXML	s200525_Rat_Blank_02.mzXML
s200525_Dog_4h_02.mzXML	0	0.999359055567337	0.0144128254120432	0.0203776181781916	0.999467391869731	0.999662448866634	0.388200849351712	0.390379462787295	0.99962185186223	0.999562708656488	0.999666543437498	0.392832740660406	0.559120932619627	0.56728092380505	0.999030047078415	0.558415951420147	0.325371993795357	0.334165096605016	0.999036249373557	0.998695763895756	0.999468157570044	0.99815760350814	0.329354646106332	0.998848554272624	0.659147071425743	0.998952219555023	0.663947687146771	0.665243227724783	0.998576991066964	0.998834505902879
s200525_Dog_Blank_01.mzXML	0.999359055567337	0	0.99936712294243	0.999316812049091	0.506468569381014	0.589403270749451	0.999294904567934	0.999296845934911	0.616900365669293	0.406174884002469	0.484937255803515	0.999302298876825	0.999093511243958	0.999085223919419	0.656193150638756	0.999099895212466	0.999318240244779	0.999318061317253	0.721831425970531	0.572174439702544	0.579035348863086	0.574006464893904	0.999314400527748	0.430648499477209	0.999020637955079	0.895737169192648	0.999012583863681	0.999019855879939	0.763248162561854	0.847335451990656
s200525_Dog_4h_01.mzXML	0.0144128254120432	0.99936712294243	0	0.00908196388522385	0.999472348620787	0.999673407674674	0.374527841641572	0.376709155717878	0.999620243911762	0.999553134192269	0.999652264351798	0.379207076245834	0.556270512939732	0.56436940106963	0.998957915772941	0.555747470191286	0.313939368937054	0.322570965961136	0.99901208489505	0.998656875988204	0.999409014387976	0.998180437178761	0.31820295507054	0.998865422832802	0.65887878348678	0.998959305048868	0.663683539347917	0.664965586108046	0.998583422779176	0.998835157653057
s200525_Dog_4h_03.mzXML	0.0203776181781916	0.999316812049091	0.00908196388522385	0	0.999448094459867	0.99965364403409	0.369065154109331	0.371276630719319	0.999646075466626	0.999541319193605	0.999653226347442	0.373788065946028	0.561585858780579	0.569678126931878	0.998947843558963	0.561048410772659	0.30582871968603	0.314409884394222	0.998984951879303	0.998647925673094	0.999395323263701	0.998163830595364	0.310011593164226	0.998844763188001	0.660961019521009	0.998934138019242	0.665755993517284	0.667048557307675	0.998560543461501	0.998836810933005
s200525_Dog_Blank_02.mzXML	0.999467391869731	0.506468569381014	0.999472348620787	0.999448094459867	0	0.430175981828607	0.999409792542627	0.999411417677151	0.505757226177327	0.476412369534751	0.647022012796492	0.99944475668496	0.999241201713956	0.999234264091794	0.673758625412088	0.999246545960851	0.999429326998707	0.999429177217524	0.705320461780136	0.603703150219526	0.320646110494224	0.622927140710015	0.999426112750198	0.466366662900887	0.999197521381863	0.9162397917576	0.999173454046044	0.999237304144353	0.818667947308298	0.811092340558802
s200525_Dog_Blank_03.mzXML	0.999662448866634	0.589403270749451	0.999673407674674	0.99965364403409	0.430175981828607	0	0.9996427078394	0.999643691756619	0.405327698882048	0.430605220574194	0.722941164574039	0.999680607615146	0.999540633217319	0.999536432634756	0.827698921013258	0.999543869037226	0.999654534687868	0.999654444005405	0.83008666063154	0.777583650373489	0.599561756095197	0.787938133978935	0.999652588674759	0.663310782732285	0.999520233678133	0.933617941882496	0.999499612953945	0.99956783151452	0.880778580839213	0.892202051201949
s200525_HUMAN_4h_01.mzXML	0.388200849351712	0.999294904567934	0.374527841641572	0.369065154109331	0.999409792542627	0.9996427078394	0	0.0122708573473996	0.999587372068755	0.999526837179654	0.999626104948151	0.0114159389119192	0.442204815840969	0.450399495611973	0.997253406537687	0.442456414690718	0.190749245644266	0.193087481874609	0.997073679861835	0.997839608659042	0.999290693671084	0.998059793719166	0.189104681674632	0.998728298405844	0.662295645143443	0.99548879432278	0.667527070127314	0.668833960535119	0.99612335512354	0.996144697225236
s200525_HUMAN_4h_02.mzXML	0.390379462787295	0.999296845934911	0.376709155717878	0.371276630719319	0.999411417677151	0.999643691756619	0.0122708573473996	0	0.999576440287836	0.999528140108167	0.999615693913505	0.00809208381934294	0.453105245792951	0.46134232767576	0.997260961140765	0.453453473975511	0.183780913388576	0.186781145337543	0.997069372788174	0.99783349506781	0.999292646627987	0.998065132474315	0.182090513358665	0.998726868573962	0.664428293585079	0.995447019412897	0.669658599930043	0.670874703173113	0.9961216625242	0.996131637118
s200525_HUMAN_Blank_02.mzXML	0.99962185186223	0.616900365669293	0.999620243911762	0.999646075466626	0.505757226177327	0.405327698882048	0.999587372068755	0.999576440287836	0	0.462442590296178	0.644751472283185	0.999600494652101	0.999451987498866	0.999446976538438	0.803875102876744	0.999455847577057	0.999587864429878	0.9995877562505	0.841268843396173	0.735190298405873	0.483938103287601	0.773669043905761	0.999585542939693	0.675366493969637	0.999425045301796	0.935447125470022	0.99940305376574	0.999455870888079	0.880765447175112	0.894052927791476
s200525_HUMAN_Blank_01.mzXML	0.999562708656488	0.406174884002469	0.999553134192269	0.999541319193605	0.476412369534751	0.430605220574194	0.999526837179654	0.999528140108167	0.462442590296178	0	0.388920287052851	0.99955616313136	0.999391669596222	0.999386107265484	0.758552014532709	0.999395954411952	0.999542498624436	0.999542378539944	0.755062930024508	0.701731064632114	0.588829766578212	0.710363160203952	0.999539921655113	0.616465434159682	0.999342757593288	0.923117595392273	0.999337351675789	0.999376460351182	0.831704979196487	0.870386708246736
