	s200512_1h_01.mzXML	s200512_0h_01.mzXML	s200512_0h_03.mzXML	s200512_0h_02.mzXML	s200512_1h_02.mzXML	s200512_2h_01.mzXML	s200512_1h_03.mzXML	s200512_2h_02.mzXML	s200512_4h_01.mzXML	s200512_4h_02.mzXML	s200512_2h_03.mzXML	s200512_4h_03.mzXML	s200512_30m_01.mzXML	s200512_30m_02.mzXML	s200512_Blank_01.mzXML	s200512_30m_03.mzXML	s200512_NoNGS_02.mzXML	s200512_NoNGS_01.mzXML	s200512_Blank_03.mzXML	s200512_Blank_02.mzXML	s200512_NoNGS_03.mzXML
1	56154363.9453761	108491513.679044	113924206.601894	125418118.782241	59017424.9975089	49427986.6472015	56771971.4259125	45175583.9415542	41014279.3120337	36105709.4019129	48417275.2939438	39992707.4096585	64931565.3588961	64531469.8264843	7101.10015136715	65021804.2681487	156644642.72575	164289164.934419	49360.0181190491	1970.91450500486	178590790.352959
5	12961614.617479	75928.1575726016	57517.3375186462	6247.2165365677	12825306.401432	14309637.5608526	12735071.6935412	15571860.4779111	15596596.9761798	13661841.8906725	14539289.2557675	15858812.2144364	10163680.2322878	10379620.3887219	646.566839813232	9989069.1718001	22017.8734879761	25989.5710010375	609.019938964846	0	13635.5140081787
6	14784889.5128934	903616.843809815	830318.058827512	113592.228912048	14809195.578464	16022694.2938519	14818583.8739313	16655866.5662793	17030882.3672107	15414790.8951135	16172744.0273053	17147066.2672036	13034220.8813165	13150110.8662912	971.098381957995	13103529.8710727	256088.802695617	321182.499097901	1115.99808807374	1884.89745269781	239054.488157501
8	10274287.7102066	634034.369624634	588042.600221865	47620.9133264161	10296257.174055	11117416.6471488	10348226.948712	11427865.2500262	11506449.582234	10006589.2500861	11264992.391568	11376527.1058301	9212628.1285114	9316977.53263356	0	9344606.52432982	53496.9819140623	59044.3749053955	0	0	45465.5316488647
12	6047914.77443107	98406.1560437773	67316.1332694092	840.447634033206	3699778.6328427	8728055.65012128	6112390.80413235	9025788.2487579	11682236.438428	10623276.1775029	8782388.60939596	11589402.7425159	4129659.41669078	4259209.13690314	758.346506561284	4110959.51520337	5685.60350508118	4468.4583904419	0	626.48820770264	5479.70809259795
29	4925123.49168749	180575.717378388	169096.543953705	9768.60706829833	5109959.3608537	6675787.48554489	5103931.76137717	6765476.87696646	8666542.32449641	7541216.79112375	6703878.09233492	8511118.63366717	3440814.28529112	3490267.88896509	628.876273925788	3495094.37836867	24611.9069798585	23998.8162159118	0	636.263141716006	18152.9632456054
39	4843710.73914642	1131157.39646637	1079909.16635376	44365.9590194703	4918715.12077697	3274383.42038849	4772045.05174683	3160098.98633545	2130714.36734955	1862571.01764831	3140202.7259378	2025977.90176269	6804270.56037048	6688867.26830338	1910.21838500977	6760348.60229233	48185.047682495	18773.6115734865	816.257946166982	0	47921.8374012757
96	1117220.22818436	5721.67140107729	2468.2451990509	0	1050362.5321329	1509099.4198614	1095096.05996648	1709103.17539639	1951837.05337257	1698382.99415234	1574768.94581493	2027996.55845711	698937.44727304	745016.251928023	636.586875366221	711717.529484497	619.301311386108	0	1391.79295085144	0	0
226	818089.583451538	3616.64354248042	1670.27524108888	1637.40624999998	803567.873426512	960216.68066162	812848.124063722	1026044.86549377	1089914.23375549	941501.762734373	976909.111535644	1086092.47568543	631830.237164916	673880.278557585	0	624056.557651977	957.97583312987	0	0	1086.69669738768	2010.91638488771
312	441644.620447922	34684.5357839356	32832.9258577576	3510.38718363955	428858.858099091	460432.032468491	446654.331705688	461768.551588058	465798.448413841	409788.74309552	457268.834139557	447628.513127922	397186.642667023	404665.886089698	634.493182022091	399347.73037558	4679.54930865478	5731.34128887939	0	0	5920.53016236876
325	581744.306676025	0	0	0	570234.233912352	664145.992083739	430181.942824704	733668.424788817	694272.171972655	635054.559161376	655865.065141601	712090.967081301	459068.465473633	483195.05540161	0	463920.546400756	0	0	0	0	0
