	s200525_Dog_4h_02.mzXML	s200525_Dog_Blank_01.mzXML	s200525_Dog_4h_01.mzXML	s200525_Dog_4h_03.mzXML	s200525_Dog_Blank_02.mzXML	s200525_Dog_Blank_03.mzXML	s200525_HUMAN_4h_01.mzXML	s200525_HUMAN_4h_02.mzXML	s200525_HUMAN_Blank_02.mzXML	s200525_HUMAN_Blank_01.mzXML	s200525_HUMAN_Blank_03.mzXML	s200525_HUMAN_4h_03.mzXML	s200525_Mk_4h_03.mzXML	s200525_Mk_4h_01.mzXML	s200525_Mk_Blank_01.mzXML	s200525_Mk_4h_02.mzXML	s200525_Mou_4h_01.mzXML	s200525_Mou_4h_02.mzXML	s200525_Mk_Blank_02.mzXML	s200525_Mk_Blank_03.mzXML	s200525_Mou_Blank_02.mzXML	s200525_Mou_Blank_01.mzXML	s200525_Mou_4h_03.mzXML	s200525_Mou_Blank_03.mzXML	s200525_Rat_4h_02.mzXML	s200525_Rat_Blank_01.mzXML	s200525_Rat_4h_03.mzXML	s200525_Rat_4h_01.mzXML	s200525_Rat_Blank_03.mzXML	s200525_Rat_Blank_02.mzXML
1	50556664.2685296	14868.2070082093	49898766.0948791	49814882.4081757	3099.5464472961	930.719699859593	15553948.5597772	15335392.7812768	761.554039611807	6027.90538452158	6236.83395935061	15363584.9332287	18994903.3438653	18946847.5081873	13190.9060214234	19136986.6169555	25142991.0539441	24699326.5586301	7640.66987304688	13855.7267394256	2046.37225036619	30660.7307696536	24680490.0791658	15612.726626587	6395522.38688658	1899.7974127197	6403948.70491686	6442599.2386136	11133.6807051087	4087.59884262093
2	25552427.0769518	5363.15856521607	26424293.8991219	27579991.5924189	12572.8434651185	4519.89249343878	36313136.3905172	37108851.4045776	4767.75301422129	4044.22687156677	2505.51891441345	37534685.0463184	3282379.08549831	2823614.13982364	12736.3930358886	3078859.46406732	39608806.595662	40702859.50297	16622.0122938539	24283.9535421753	12577.8722407532	37923.6873057553	40241767.3456878	23231.1799420165	2510989.52583164	2495.95825820935	1884840.11171728	1869213.71642129	8853.35072082516	10540.3401795959
9	13598552.4687744	0	13451251.3218921	13469100.8503745	0	0	10939895.4323255	11039678.8308853	1495.42505310057	611.90936660767	851.708283996588	11044605.3389153	5607769.04382886	5251156.35257809	640.466490783683	5802743.18783077	8838513.9536581	8635262.22506215	0	1513.43869384765	1266.1175441742	3229.98103408815	8777268.29648312	1978.24909896849	37682967.3516974	823.795070648228	37322397.1377064	38219546.5587993	768.67045837404	673.659855651894
10	5724529.00455807	1549.10187280276	5860704.61571316	5557003.35902249	678.931192016606	985.621034317031	13920901.5538732	13561340.2689683	754.298089141839	1354.32408716584	0	13836001.7862738	23525381.2495618	23428125.7617887	3535.67545809936	23488897.7475135	5190924.23119635	4930623.90517801	3652.92168283081	6764.79101907349	940.133271041877	4780.41335034182	5049099.81795305	4577.20167802428	2411274.82173273	8103.79322248846	2419920.0772865	2442073.82847387	6104.81602079766	4858.47234194946
39	3623558.38512588	0	3556440.49724243	3592259.54930054	0	0	1192025.45705322	1214854.08287781	0	0	0	1183713.80742065	1458506.87730041	1466508.01604248	0	1481984.4272348	2090732.95598328	2020455.71422424	0	0	0	808.497169189471	2129382.49466003	0	584074.20567871	0	584809.945594484	587479.519358522	0	0
42	2697638.83010351	0	2570947.03703934	2644875.34318932	0	784.185851745599	8706311.88116826	8748963.57943622	0	0	0	8781082.91846913	4045200.99455902	4026091.72686158	613.794178276071	4049565.8328009	3831448.63919242	3776266.49183023	0	632.256833618177	0	4307.17927133179	3890874.06242465	611.350526504525	1700242.07733685	0	1754063.79288742	1756170.96899393	0	0
72	1251666.07853946	1598.63991178131	1233741.20190384	1183268.28051902	0	674.191878547666	114300.095465492	106075.132000771	713.015110702512	767.465815315258	610.656161590582	107432.80162159	388359.441313934	395360.764992828	3348.46021191404	383204.298749511	143390.824823372	147523.808740875	2212.6829830322	2721.19264396667	0	608.505895065312	135372.65282431	1248.87157011416	447260.941323686	13506.9013316651	459773.00979718	464668.754671585	31001.4125344238	19202.8670340576
73	1314881.00213965	657.682643737791	1289778.12337831	1239385.81057182	0	0	1757179.92316016	1649428.36344583	1425.74562463378	766.179340774524	677.071915740961	1738044.97972661	7077759.22374261	7156868.07494372	725.064156417857	7157634.40535192	2214217.89508203	2139710.52780893	1160.75723625185	933.31723565673	1290.83402389526	1414.09546028136	2180584.12730013	0	9737535.68441973	0	9845309.67430654	9732623.57344068	0	0
85	1583571.60011261	0	1497789.29663543	1484198.05081604	834.325044555653	0	1065594.0426477	1025107.18970581	0	0	882.710102844213	1094534.82085266	998989.682033078	922810.747264406	988.464580078112	1037551.27278808	916895.296656802	915205.838544923	0	946.591349029547	0	0	943125.211377255	0	3643498.9946118	825.515912475633	3569520.82982178	3691866.63767456	0	0
135	725407.673677017	0	717681.497884475	682409.663965333	0	0	63288.0181939392	64516.0124531863	0	901.733469085706	0	65288.034116974	314130.668821442	321376.330462624	0	320009.872022156	241013.03261969	254918.836195564	825.248826110833	0	0	640.91785972595	234119.707323181	0	8633.14709787756	0	13134.8512550049	14584.3921331482	0	0
177	609019.983268784	0	616405.768473174	609031.914229758	0	0	371035.447124908	377249.391977265	0	0	810.581501892083	373793.459562332	135876.935438034	128389.633072388	0	144325.148129196	464407.979261094	461238.237735871	729.204920257562	0	0	0	452747.815753875	0	799.391571121213	0	0	0	627.846270660403	0
931	0	1604.23176315304	441663.243270569	436378.608457337	625.355707702628	0	1508352.91599274	1422522.95241211	1024.35196411131	780.544197387685	1569.3372399902	1424389.86384491	59156.9673840333	61079.6668328852	852.1336254883	42699.4437207037	394036.031061707	411152.351461792	854.562499999975	1702.12206298829	3100.01048370367	866.880825195301	363322.253171081	859.438983154333	7160.62726043692	0	4623.10366027833	2214.00091125485	1562.79894165043	0
1087	226654.094084167	1390.57518157962	229256.727203064	218588.150316772	0	0	616895.324924925	591290.613951723	0	0	667.050303268437	605301.095465697	1333186.13659393	1346171.67940918	0	1355861.06273834	637955.735007324	604195.308224792	606.177905883781	0	0	0	631425.420323637	0	1570495.56455749	615.650505447392	1555428.11710389	1576314.14885788	764.087971496572	0
1149	180312.056729126	0	149032.654371338	154734.527303161	0	0	471866.493120729	444609.202358398	0	0	0	454692.738228761	1851359.37969483	1877835.7634497	0	1867232.04803956	215988.705720825	264516.606083985	0	1423.92999999998	0	0	251132.202282716	0	2403460.57525604	0	2395266.70520172	2403374.60651977	746.850879669194	0
1404	0	0	183284.303913574	181114.519587708	0	0	691675.574074707	652629.897397463	0	0	0	682899.759630125	1205989.73046631	1199788.39300598	2203.08770751955	1261913.57582519	348605.232070924	351794.311842652	0	0	0	0	351048.721976318	0	558536.599251708	0	532141.043138427	558322.62307251	0	0
2233	147446.662598724	0	136634.685799331	136651.908110047	639.515261077863	0	451116.688323669	304655.298176729	939.282947387683	0	0	454659.018713988	616934.920737304	626427.641099855	1046.48640380862	634606.883485106	170128.701363525	391610.773129578	0	1729.47099792478	0	0	161203.067887268	0	47366.6359637449	2392.88334442138	51808.7725024415	50359.3601751709	0	3260.70039688106
2433	119631.747696533	0	125739.367775879	129331.744802247	0	0	689494.76025635	677755.369558104	0	0	0	708962.72055542	3113598.09858399	3256512.34902587	0	3208650.88950929	767218.37558838	754776.882518313	0	0	0	0	775611.300388183	0	2698388.97430175	0	2721554.56947754	2709767.52786865	0	0
2605	114506.368852798	0	120032.856711342	78861.5706594544	0	663.862359352116	486709.001577835	475480.982306031	0	0	0	428024.273786255	335051.397196205	319920.916927163	0	349937.335274002	1336177.40795301	1229539.84364874	0	0	0	0	1136326.55862292	0	55926.9426351776	612.327091346736	47080.0596734314	53301.8043389511	0	624.418095352169
3356	102931.216227142	0	91027.0832207642	87598.700209076	0	0	33398.4644837952	32043.3762656708	0	745.981525329578	0	26957.8713232421	151487.315757339	148606.638724579	0	146361.165915466	33160.585673462	29111.8649405518	0	617.395987701403	0	0	22944.8178036652	0	30602.7028925782	667.191679588323	26502.3251575317	30162.7599346924	722.079243965134	0
3413	68126.3508114319	0	70890.8662778931	66578.634822052	665.107234375001	634.804095268247	37397.9389850922	35781.722076065	657.22297927857	0	0	34648.0947975312	967699.251047394	1014658.58011937	665.167984054567	976185.305850342	10517.6280148316	10296.3859796448	0	0	0	0	10713.0086854553	777.591827087402	0	0	2034.15132618713	0	0	0
5777	50290.4435425415	2417.16150282287	47678.4868635255	47612.7636773682	1712.27156533813	1116.63427868653	14327.004488678	13806.9610788574	0	2169.64532125091	766.689552612298	15066.566182785	228974.261728577	244955.996378174	4033.08813694	235643.944414612	34968.705971611	38164.4254411011	5928.62096008301	919.189791442879	0	882.591847900391	33187.3936264649	937.284999999991	86637.1423582383	14977.1073062744	86649.7485385512	89720.1221054077	4580.65616900636	9962.21747209167
5905	83831.9462179567	0	80654.8006555178	83904.0142095947	1550.63680541994	1840.23849304197	83685.7511395263	75764.0813562005	1199.93768386846	1312.85544662472	0	0	40946.3104966735	30308.0042425536	1103.45378967284	36301.8581503298	492014.552327269	488339.125866394	1464.6109672546	1243.74036331173	1180.62229080197	758.548509216299	401330.613173829	980.629338073737	269534.135692444	0	259647.547882841	273637.239433288	970.196566162097	984.186922607444
7012	53596.2317543031	0	53399.1915051268	54388.675387268	0	0	205287.930982056	209872.864145202	0	0	0	243081.822765199	132531.822472535	118416.389219971	636.134687499992	122891.198923951	45175.7602469632	38514.7732690431	0	0	0	0	41183.0986042789	0	8941.32862655641	701.838166198721	8067.82834991462	4626.70244133001	0	0
9122	20991.5857922363	0	14826.2177539065	0	0	0	40898.30501709	39411.0179818724	639.031249999982	0	0	22924.0242584233	607251.905561524	635632.95307495	0	614003.716661988	92527.5324615471	93142.6251770015	0	0	0	0	94273.3895410159	0	164425.34683075	0	177706.233104858	172916.900759887	0	0
10140	27257.792467041	0	28432.73766922	28420.8063223266	0	0	36849.2412109373	29662.7218746949	673.469216308585	0	0	33169.1421221923	309810.912786865	325746.158914186	625.872788696281	327119.922030944	117776.930567017	106733.348155518	0	721.987360763555	625.589387207023	0	120359.571604462	0	165590.888938599	0	168092.834819641	159543.796407318	0	0
10893	19740.9876960297	0	18101.5146029053	16920.4672865601	0	0	24624.1480527039	26729.2610384064	0	710.415793792733	753.003585266113	25485.6616988525	223811.28559256	226521.202457619	0	210541.555936401	115388.302642914	108226.171540817	615.62455166626	0	0	0	107274.675252808	0	512320.47941217	0	519292.478792404	523798.507888542	0	0
11994	6949.53645454416	0	34778.6120614623	0	0	0	63335.2307225035	63710.829060669	0	0	0	60103.0021919251	382349.187668151	406025.44256897	0	375405.697918701	21552.6738786317	18923.5096249391	0	0	0	0	16580.6289700318	0	45626.0547946164	0	50204.3237145996	50249.4828988649	0	0
24156	28524.9890305023	0	27244.4896273804	29507.6044269867	822.361750000007	891.034245773318	9170431.17646358	9640815.69959015	0	0	0	9396340.39222434	829022.046574524	816243.42969944	0	881717.768435974	13857204.9036961	13879753.7505737	752.816001403802	650.662800872803	0	5044.3003482666	13628259.073486	772.9948367157	15381.238926651	0	11204.5241748276	14587.2881657868	626.060078773497	622.54417358399
29173	0	774.826952514638	226507.015201568	236590.323372803	761.333685684209	712.221147155766	1037949.00677307	1016759.21730042	1082.32466491698	645.612094116225	0	1062520.57042969	1396193.76211548	1330155.37965637	860.516964111317	1408696.76428589	367409.222366636	353769.488545838	1355.50370117186	1195.75227584835	0	0	435219.553040466	0	310208.493836059	721.780000000016	312852.404008788	310000.299586333	0	0
29214	5735.97605727387	0	4110.04376516722	3853.63873233034	0	0	205640.221037201	189749.142949432	0	0	0	186770.409671295	106543.797133438	102317.300600159	0	186163.827452438	569865.367692841	537242.958492722	0	0	0	0	542898.452213318	0	4994.47971543884	0	4605.64345349121	4287.81957850647	0	0
29242	2969.15022961426	3021.73734934234	1497.88497158813	3003.62926119996	4116.91183289338	1877.68190655517	169012.645477539	171129.762914185	1294.74614849854	788.460163085938	0	174108.046886719	124337.167940186	130375.127580811	77178.8449280395	115712.025562927	597496.875442123	549535.725567871	85587.1568457489	38367.4988446655	7004.87606332398	5463.85170733643	550456.872919586	7535.03397947693	31118.0505768127	177493.385485657	30108.7467855835	30728.0478026428	112142.600527527	127117.947887634
29257	12376.9014597473	0	9064.79356399536	8505.59567959595	0	0	156931.954542221	152797.927972076	0	0	0	147146.02733847	95139.0148793182	91841.3098715058	731.121147537223	87305.0072850647	398301.612805939	370328.894485336	0	716.764272537229	0	0	239224.613811035	915.409468170157	77040.9174039306	0	79581.2470924682	85136.0100450745	0	0
29491	87423.5649020385	0	84456.1690673831	86440.1899890137	1550.63680541994	1840.23849304197	99703.6313299564	92164.0199743644	1199.93768386846	1312.85544662472	0	95891.7646197513	42827.8703092957	34161.9279168699	1103.45378967284	40156.4049450685	412967.663394775	406912.77413971	1464.6109672546	1243.74036331173	1180.62229080197	758.548509216299	499847.550141603	980.629338073737	269534.135692444	0	269663.937865752	0	970.196566162097	984.186922607444
30069	6328.65109863273	645.318001708976	8121.23212280279	5721.90935668949	705.401188278228	0	43204.8048120122	42639.0620562743	0	0	760.726737670888	39530.5300738532	1091842.1140387	1162557.44812195	0	1106951.02112732	103712.616033935	99021.6903643796	0	871.921077728277	0	0	94586.9647973634	0	156407.403027344	0	154889.394938354	156127.857481079	0	0
