row ID,row m/z,row retention time,s200525_Dog_4h_02.mzXML Peak area,s200525_Dog_Blank_01.mzXML Peak area,s200525_Dog_4h_01.mzXML Peak area,s200525_Dog_4h_03.mzXML Peak area,s200525_Dog_Blank_02.mzXML Peak area,s200525_Dog_Blank_03.mzXML Peak area,s200525_HUMAN_4h_01.mzXML Peak area,s200525_HUMAN_4h_02.mzXML Peak area,s200525_HUMAN_Blank_02.mzXML Peak area,s200525_HUMAN_Blank_01.mzXML Peak area,s200525_HUMAN_Blank_03.mzXML Peak area,s200525_HUMAN_4h_03.mzXML Peak area,s200525_Mk_4h_03.mzXML Peak area,s200525_Mk_4h_01.mzXML Peak area,s200525_Mk_Blank_01.mzXML Peak area,s200525_Mk_4h_02.mzXML Peak area,s200525_Mou_4h_01.mzXML Peak area,s200525_Mou_4h_02.mzXML Peak area,s200525_Mk_Blank_02.mzXML Peak area,s200525_Mk_Blank_03.mzXML Peak area,s200525_Mou_Blank_02.mzXML Peak area,s200525_Mou_Blank_01.mzXML Peak area,s200525_Mou_4h_03.mzXML Peak area,s200525_Mou_Blank_03.mzXML Peak area,s200525_Rat_4h_02.mzXML Peak area,s200525_Rat_Blank_01.mzXML Peak area,s200525_Rat_4h_03.mzXML Peak area,s200525_Rat_4h_01.mzXML Peak area,s200525_Rat_Blank_03.mzXML Peak area,s200525_Rat_Blank_02.mzXML Peak area,
1,491.2104427092403,18.72022777777778,5.0556664268529624E7,14868.207008209314,4.989876609487912E7,4.9814882408175655E7,3099.5464472961044,930.7196998595925,1.5553948559777228E7,1.5335392781276846E7,761.5540396118065,6027.9053845215785,6236.833959350605,1.5363584933228735E7,1.899490334386532E7,1.894684750818728E7,13190.906021423369,1.9136986616955537E7,2.5142991053944133E7,2.4699326558630053E7,7640.669873046883,13855.726739425572,2046.3722503661857,30660.730769653564,2.4680490079165764E7,15612.726626586993,6395522.386886584,1899.7974127197017,6403948.704916858,6442599.238613599,11133.680705108698,4087.5988426209315,
2,475.2161215576873,17.288011111111107,2.555242707695183E7,5363.158565216068,2.6424293899121918E7,2.757999159241888E7,12572.843465118454,4519.89249343878,3.631313639051724E7,3.7108851404577635E7,4767.753014221293,4044.2268715667683,2505.5189144134506,3.753468504631838E7,3282379.0854983088,2823614.1398236365,12736.393035888603,3078859.4640673227,3.960880659566204E7,4.070285950297003E7,16622.01229385388,24283.953542175255,12577.872240753248,37923.687305755324,4.0241767345687844E7,23231.179942016548,2510989.5258316365,2495.9582582093544,1884840.111717281,1869213.7164212912,8853.350720825163,10540.3401795959,
3,981.4107313611781,18.69852222222222,2.2442115190122336E7,0,2.2155851344799798E7,2.1987983475415953E7,0,0,1846157.275083618,1863263.894938045,0,0,0,1837471.8069445717,3139742.9417230054,3138298.559859318,0,3099195.957059315,6172261.134778614,5975544.487987198,0,0,0,0,6076638.558109711,0,285726.7854103078,0,289612.04553680593,286390.08167434763,0,0,
4,568.2994890849665,33.925083333333326,7.799272934764412E7,8.068549876852086E7,7.952405788525856E7,7.945147844559172E7,7.954919909081027E7,7.707818143134423E7,7.944825136188318E7,7.848646503370647E7,7.955552836821605E7,8.099838612699094E7,7.476901416381213E7,7.742823847680847E7,7.816365209859388E7,7.88881974736608E7,7.802546548609266E7,7.562031244976564E7,4.026548165312508E7,3.1289272255468547E7,7.781710093112262E7,7.828860154171889E7,3.700050522367199E7,7.599076542979315E7,3.788301779289056E7,7.49371084175638E7,7.469027865126486E7,7.528490987047021E7,7.766543014624357E7,7.459669421112788E7,7.769191622490679E7,7.459483024833003E7,
5,573.254821517369,33.918372222222224,6.818848321595801E7,7.002578531461139E7,6.946629725917833E7,7.087280658159922E7,6.862642724510203E7,6.4651680161567636E7,7.273756892339703E7,7.177015236993074E7,7.952102396564391E7,7.229425227150086E7,7.312593552300148E7,7.08254531481907E7,6.847994741096698E7,6.979614000283615E7,7.083681834876902E7,6.748846447437502E7,7.36951441622897E7,6.414678004759055E7,7.047165890313287E7,7.249286458811535E7,7.240402689146423E7,6.877121799125953E7,7.465901809395216E7,6.878735454498549E7,6.895837547313257E7,6.86901539194048E7,7.4162225961869E7,6.873855545773678E7,7.40703525585409E7,6.911714334900732E7,
6,381.08132482008654,1.8049055555555562,2.3773298132732634E7,2.4773014822789483E7,3.132840212878605E7,2.6261217847160123E7,2.4040514004496764E7,2.404704400224338E7,2.1682907539935175E7,2.304166715739881E7,2.054941641861382E7,2.0548712105862584E7,2.07216408065323E7,2.1499727732909545E7,2.412105366703326E7,2.509517905567322E7,2.5463408380979978E7,2.4303963925100688E7,2.388668389883525E7,2.165887086498923E7,2.457176469335233E7,2.5444550298461013E7,2.834724049269227E7,2.4592084886008635E7,2.386366711012378E7,2.484688810903854E7,2.0650946694072656E7,2.1256949502971467E7,2.0186140455042277E7,2.083574025733889E7,1.9321048578633387E7,2.1070030136013594E7,
7,304.30023111915926,34.23047777777777,8595673.670517616,8811130.130781218,8668023.81140621,8576442.320278304,8681371.651899384,8721767.61193347,8830330.524126,9718821.07580745,9669117.070691304,1.016366933691808E7,8913546.97843747,8911479.01996585,9698562.171379087,9940220.59399148,9855607.723649047,9812477.974089347,9616572.174062118,8788321.425522378,8889416.151386896,8966587.029604433,8753285.068486372,8764695.169985313,9682976.817065625,8829965.826360071,9645211.765160758,8536899.588139607,8650843.326035121,7023870.382221662,6974862.205620098,8595864.723242084,
8,332.33215524539213,34.492266666666666,1.429667022597626E7,1.4487342120561127E7,1.4185864115656568E7,1.4055146886693759E7,1.4435003802611614E7,1.435628203789764E7,1.4864572753850887E7,1.4609894086754695E7,1.4417549801798737E7,1.5156110733161537E7,1.4629600253478423E7,1.4736224013028204E7,1.4679794281139022E7,1.4788637723236639E7,1.4817200491181085E7,1.4728501387232704E7,1.4618838219278071E7,1.4743099400202103E7,1.4714443725781487E7,1.463755923907565E7,1.4532649578475166E7,1.4645385837289372E7,1.473952586694687E7,1.4569134429961588E7,1.4340368938526664E7,1.1750907334550772E7,1.4415373904454425E7,1.1789923005625207E7,1.4392159328759689E7,1.1656632431699365E7,
9,461.2010935643657,17.175076923076922,1.359855246877442E7,0,1.3451251321892053E7,1.346910085037453E7,0,0,1.0939895432325466E7,1.1039678830885332E7,1495.4250531005664,611.9093666076701,851.7082839965876,1.1044605338915262E7,5607769.043828863,5251156.352578087,640.466490783683,5802743.187830768,8838513.953658096,8635262.225062149,0,1513.4386938476523,1266.1175441742027,3229.9810340881504,8777268.296483122,1978.2490989684925,3.768296735169737E7,823.7950706482278,3.7322397137706384E7,3.821954655879928E7,768.6704583740404,673.6598556518942,
10,449.1985721285748,12.501909770114942,5724529.004558072,1549.1018728027584,5860704.615713156,5557003.359022486,678.931192016606,985.6210343170308,1.3920901553873196E7,1.3561340268968325E7,754.2980891418391,1354.3240871658356,0,1.3836001786273822E7,2.3525381249561757E7,2.3428125761788666E7,3535.6754580993615,2.348889774751347E7,5190924.231196351,4930623.905178011,3652.92168283081,6764.791019073487,940.1332710418774,4780.413350341815,5049099.817953055,4577.201678024285,2411274.8217327264,8103.793222488456,2419920.0772865005,2442073.828473865,6104.81602079766,4858.472341949463,
11,616.4636791498541,34.232161111111104,4048113.4168847734,4070211.4472265528,4018123.1299218503,3956533.694023437,4018441.336787102,3977052.0820898376,4009955.479506851,4031312.4608593564,4081977.496757765,4346617.699599603,3826084.4099023333,3982437.1137500145,4035767.0460449154,4125184.6114062234,3978572.0976074818,4209450.688310541,4183082.4867773964,4073171.7716064313,4010401.7566797566,3984824.0798827754,4018497.1926269685,4064598.570546858,4021757.981572234,4051884.0417676154,3914631.817978479,3884677.8775829854,4002364.7195214774,3965082.229941418,3868136.825068367,3839825.687460917,
12,949.4201656297682,17.257666666666665,3601976.2314154245,1095.8353294372246,3766512.9559434447,4100241.13247346,0,0,7037956.917652249,7248755.761038973,0,0,0,7359082.490553565,53111.32679504476,40615.22063659643,0,47064.244619598205,7787748.592733966,8087877.550753234,0,0,0,0,8012068.828073423,0,39683.02823844921,0,28055.700121917733,22521.67718261709,0,0,
