ATTRIBUTE_AcquisitionDate	ATTRIBUTE_AnimalModel	ATTRIBUTE_IngExp	ATTRIBUTE_SampleType	ATTRIBUTE_Time	G1	G2	G3	G4	G5	G6	GNPSGROUP:0h	GNPSGROUP:1h	GNPSGROUP:2020.05.12	GNPSGROUP:2020.05.25	GNPSGROUP:2h	GNPSGROUP:30min	GNPSGROUP:4h	GNPSGROUP:Dog	GNPSGROUP:Dog_4h	GNPSGROUP:Dog_Blank	GNPSGROUP:Human	GNPSGROUP:Human_0h	GNPSGROUP:Human_1h	GNPSGROUP:Human_2h	GNPSGROUP:Human_30min	GNPSGROUP:Human_4h	GNPSGROUP:Human_Blank	GNPSGROUP:Human_NoNGS	GNPSGROUP:Monkey	GNPSGROUP:Monkey_4h	GNPSGROUP:Monkey_Blank	GNPSGROUP:Mouse	GNPSGROUP:Mouse_4h	GNPSGROUP:Mouse_Blank	GNPSGROUP:Rat	GNPSGROUP:Rat_4h	GNPSGROUP:Rat_Blank	GNPSGROUP:blank	GNPSGROUP:control	GNPSGROUP:nan	GNPSGROUP:sample	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Monkey_Blank,Rat_Blank,Dog_Blank,Mouse_Blank,Rat_4h,Human_Blank,Dog_4h,Human_4h,Monkey_4h	blank,sample	4h,nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11583296.917093737	0.0	0.0	23157790.30246882	25048201.874123294	50090104.2571948	6299.491051788337	7710992.094611049	0.0	0.0	0.0	0.0	15417642.091427602	4342.0977944946635	0.0	9518904.128607005	19026245.82300271	11562.434211298607	12428521.253564425	24840935.897246648	16106.609882202247	3209865.234562915	6414023.443472346	5707.025653483111	8803.531718653394	0.0	8803.531718653394	23157790.30246882	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1.0","main.cluster index_upperinput":"1.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=6f690643ab0f4abf9ddec08b087ffb35&show=true	N/A	N/A	N/A	18.7202	18.7202	0	N/A	N/A	347498907.5128122	30	1	1	30	491.2104	1	491.2104	347498907.5128122
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Monkey_Blank,Rat_Blank,Dog_Blank,Mouse_Blank,Rat_4h,Human_Blank,Dog_4h,Human_4h,Monkey_4h	blank,sample	4h,nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10889991.76794761	0.0	0.0	21767780.99317235	13263194.743836068	26518904.189497545	7485.298174591101	18494665.056702245	0.0	0.0	0.0	0.0	36985557.61380442	3772.4996000671704	0.0	1539749.1747101976	3061617.5631297557	17880.786290639247	20104527.697301406	40184477.814773306	24577.579829508373	1047822.1671881397	2088347.784656736	7296.549719543473	12202.542722869872	0.0	12202.542722869872	21767780.99317235	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=6f690643ab0f4abf9ddec08b087ffb35&show=true	N/A	SildenafilCitrate	0.742321	17.2880	17.2880	0	N/A	CCMSLIB00000004805	326699753.0384283	30	2	1	30	475.2161	1	475.2161	326699753.0384283
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Rat_4h,Dog_4h,Human_4h,Monkey_4h	sample	4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3353208.451314765	0.0	0.0	6706416.90262953	11097658.33505635	22195316.6701127	0.0	924482.1628277058	0.0	0.0	0.0	0.0	1848964.3256554117	0.0	0.0	1562872.9097736063	3125745.8195472127	0.0	3037407.363479254	6074814.726958508	0.0	143621.48543691024	287242.9708738205	0.0	0.0	0.0	0.0	6706416.90262953	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3.0","main.cluster index_upperinput":"3.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=6f690643ab0f4abf9ddec08b087ffb35&show=true	N/A	N/A	N/A	18.6985	18.6985	0	N/A	N/A	100596253.53944297	15	3	5	15	981.4107	1	981.4107	100596253.53944297
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Monkey_Blank,Rat_Blank,Dog_Blank,Mouse_Blank,Rat_4h,Human_Blank,Dog_4h,Human_4h,Monkey_4h	blank,sample	4h,nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72122018.9535466	0.0	0.0	69426237.15220222	79046857.49486163	78989421.89283146	79104293.09689179	78447647.25523621	0.0	0.0	0.0	0.0	78454318.29079938	78440976.21967304	0.0	77800554.99682574	77557387.34067343	78043722.65297805	49561025.12875219	36479257.23382807	62642793.02367631	75754009.89205723	75650801.00287877	75857218.78123568	74817800.75489098	0.0	74817800.75489098	69426237.15220222	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4.0","main.cluster index_upperinput":"4.0"}	This Node is a Singleton	N/A	N/A	N/A	33.9251	33.9251	0	N/A	N/A	2163660568.606398	30	4	-1	30	568.2995	1	568.2995	2163660568.606398
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Monkey_Blank,Rat_Blank,Dog_Blank,Mouse_Blank,Rat_4h,Human_Blank,Dog_4h,Human_4h,Monkey_4h	blank,sample	4h,nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70595736.93863699	0.0	0.0	70265694.1722002	68638579.96300277	69509195.68557853	67767964.24042702	73379064.36694412	0.0	0.0	0.0	0.0	71777724.8138395	74980403.92004874	0.0	69927648.95469923	68588183.96272606	71267113.94667241	70410590.28859028	70833647.4346108	69987533.14256975	70622801.11994857	70619718.96424611	70625883.27565101	70925779.70507379	0.0	70925779.70507379	70265694.1722002	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5.0","main.cluster index_upperinput":"5.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=6f690643ab0f4abf9ddec08b087ffb35&show=true	N/A	N/A	N/A	33.9184	33.9184	0	N/A	N/A	2117872108.1591098	30	5	2	30	573.2548	1	573.2548	2117872108.1591098
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Monkey_Blank,Rat_Blank,Dog_Blank,Mouse_Blank,Rat_4h,Human_Blank,Dog_4h,Human_4h,Monkey_4h	blank,sample	4h,nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23392792.456860702	0.0	0.0	23479297.76447544	25703915.156368073	27120972.702892937	24286857.609843213	21340678.62687537	0.0	0.0	0.0	0.0	22074767.47674784	20606589.7770029	0.0	24833320.003433414	24506732.215935722	25159907.790931102	24532572.560281284	23136407.291316085	25928737.82924648	20553475.937345378	20557609.13548461	20549342.73920615	23306287.14924597	0.0	23306287.14924597	23479297.76447544	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6.0","main.cluster index_upperinput":"6.0"}	This Node is a Singleton	N/A	N/A	N/A	1.8049	1.8049	0	N/A	N/A	701783773.7058212	30	6	-1	30	381.0813	1	381.0813	701783773.7058212
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Monkey_Blank,Rat_Blank,Dog_Blank,Mouse_Blank,Rat_4h,Human_Blank,Dog_4h,Human_4h,Monkey_4h	blank,sample	4h,nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8976253.777292129	0.0	0.0	9077321.803441934	8675734.866136033	8613379.934067376	8738089.79820469	9367827.33432436	0.0	0.0	0.0	0.0	9153543.539966432	9582111.128682286	0.0	9527145.274016716	9817086.913153306	9237203.634880126	9072636.08024698	9362623.472216707	8782648.688277252	8237925.331736555	8439975.157805847	8035875.505667263	8875185.751142323	0.0	8875185.751142323	9077321.803441934	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7.0","main.cluster index_upperinput":"7.0"}	This Node is a Singleton	N/A	N/A	N/A	34.2305	34.2305	0	N/A	N/A	269287613.31876385	30	7	-1	30	304.3002	1	304.3002	269287613.31876385
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Monkey_Blank,Rat_Blank,Dog_Blank,Mouse_Blank,Rat_4h,Human_Blank,Dog_4h,Human_4h,Monkey_4h	blank,sample	4h,nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14293013.198496178	0.0	0.0	14372828.98724014	14302718.19823283	14179227.076108864	14426209.320356794	14735658.60701208	0.0	0.0	0.0	0.0	14736896.951211262	14734420.262812898	0.0	14727689.474607766	14732311.130536122	14723067.818679407	14641438.888692196	14700487.828809015	14582389.948575376	13057560.823936021	13515221.949535433	12599899.698336609	14213197.409752216	0.0	14213197.409752216	14372828.98724014	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8.0","main.cluster index_upperinput":"8.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=6f690643ab0f4abf9ddec08b087ffb35&show=true	N/A	N/A	N/A	34.4923	34.4923	0	N/A	N/A	428790395.95488536	30	8	4	30	332.3322	1	332.3322	428790395.95488536
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Monkey_Blank,Rat_Blank,Mouse_Blank,Rat_4h,Human_Blank,Dog_4h,Human_4h,Monkey_4h	blank,sample	4h,nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7656485.392392048	0.0	0.0	15312047.223387413	6753150.773506833	13506301.547013666	0.0	5504523.107471627	0.0	0.0	0.0	0.0	11008059.867375353	986.347567901608	0.0	2777303.748237058	5553889.528079239	717.9683948771119	4376253.137146766	8750348.158401122	2158.115892410282	18871196.19559795	37741637.016067676	755.3751282247207	923.5613966827445	0.0	923.5613966827445	15312047.223387413	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9.0","main.cluster index_upperinput":"9.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=6f690643ab0f4abf9ddec08b087ffb35&show=true	N/A	N/A	N/A	17.1751	17.1751	0	N/A	N/A	229694561.77176145	26	9	1	26	461.2011	1	461.2011	229694561.77176145
2020.05.25	Human,Monkey,Rat,Dog,Mouse	Mouse_4h,Monkey_Blank,Rat_Blank,Dog_Blank,Mouse_Blank,Rat_4h,Human_Blank,Dog_4h,Human_4h,Monkey_4h	blank,sample	4h,nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5046514.750780452	0.0	0.0	10089786.801939564	2857575.1055654753	5714078.993097905	1071.218033045465	6886725.371881941	0.0	0.0	0.0	0.0	13772747.869705115	702.8740587692249	0.0	11742726.357837318	23480801.586287964	4651.129386667886	2530157.6171044707	5056882.651442473	3432.582766469326	1215389.3015130546	2424422.909164364	6355.693861745193	3242.699621339419	0.0	3242.699621339419	10089786.801939564	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=6f690643ab0f4abf9ddec08b087ffb35&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10.0","main.cluster index_upperinput":"10.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=6f690643ab0f4abf9ddec08b087ffb35&show=true	N/A	N/A	N/A	12.5019	12.5019	0	N/A	N/A	151395442.52341354	29	10	1	29	449.1986	1	449.1986	151395442.52341354
