row ID,row m/z,row retention time,s200525_Dog_Blank_01.mzXML Peak area,s200525_Dog_4h_02.mzXML Peak area,s200525_Dog_4h_03.mzXML Peak area,s200525_Dog_4h_01.mzXML Peak area,s200525_Dog_Blank_03.mzXML Peak area,s200525_Dog_Blank_02.mzXML Peak area,s200525_HUMAN_4h_01.mzXML Peak area,s200525_HUMAN_4h_02.mzXML Peak area,s200525_HUMAN_Blank_02.mzXML Peak area,s200525_HUMAN_4h_03.mzXML Peak area,s200525_HUMAN_Blank_01.mzXML Peak area,s200525_Mk_4h_02.mzXML Peak area,s200525_Mk_4h_03.mzXML Peak area,s200525_HUMAN_Blank_03.mzXML Peak area,s200525_Mk_4h_01.mzXML Peak area,s200525_Mk_Blank_02.mzXML Peak area,s200525_Mk_Blank_03.mzXML Peak area,s200525_Mou_4h_01.mzXML Peak area,s200525_Mk_Blank_01.mzXML Peak area,s200525_Mou_Blank_01.mzXML Peak area,s200525_Mou_Blank_02.mzXML Peak area,s200525_Mou_4h_03.mzXML Peak area,s200525_Mou_4h_02.mzXML Peak area,s200525_Rat_4h_02.mzXML Peak area,s200525_Mou_Blank_03.mzXML Peak area,s200525_Rat_Blank_02.mzXML Peak area,s200525_Rat_4h_01.mzXML Peak area,s200525_Rat_Blank_03.mzXML Peak area,s200525_Rat_4h_03.mzXML Peak area,s200525_Rat_Blank_01.mzXML Peak area,Unnamed: 33
1,568.299540760328,33.92508333333333,80654186.63389823,77946308.74940835,79389508.46492086,79493092.20215507,77078181.43134423,79549199.09081027,79349468.63500512,78395342.93821841,79511916.1647114,77428238.47680847,80998386.12699094,75620312.44976564,78163652.09859388,74741789.90529023,78888197.4736608,77817100.93112262,78288601.54171889,40265481.65312508,78025465.48609266,75990765.42979315,37000505.22367199,37883017.79289056,31289272.25546855,74690278.65126486,74937108.4175638,74594830.24833003,74596694.21112788,77610646.62964953,77660357.41942106,75284909.87047021,
2,573.2548280892636,33.91837222222222,70023226.26960132,68185477.29512396,70866062.15174006,69462902.20533387,64651680.16156764,68621572.17444682,72729654.25514127,71765420.69673105,79513189.8121412,70825453.14819069,72294252.27150086,67488464.47437502,68479947.41096698,73123570.31767616,69796140.00283615,70471658.90313287,72492864.58811535,73690454.5370715,70836818.34876902,68771217.99125953,72396535.35321291,74651497.82229728,64142856.76254707,68958375.47313257,68781949.57485472,69117143.34900732,68738555.45773678,74065260.91581538,74158049.17722283,68690153.9194048,
3,304.2996606824045,34.210333333333324,8811130.130781218,8595673.670517616,8576442.320278304,8668023.81140621,8721767.61193347,8681371.651899384,8830330.524125999,9716678.159823563,9665445.78842156,8911479.01996585,14294.603012695226,9812477.974089347,9692483.62507202,8913546.97843747,11951.982893066333,8889416.151386896,8966587.029604433,9614148.846497726,12793.167175292892,8764695.169985313,8753285.068486372,9680475.755562637,8788321.425522378,9641693.452686695,8829965.826360071,8595864.723242084,7023870.382221662,6974862.205620098,8650843.326035121,8536899.588139607,
4,381.0813242306148,1.804905555555556,24644622.284260385,23686168.25723503,26246984.76823088,31318960.26750478,24038716.599078484,24006520.79054911,21680165.573224664,23013236.99340533,20549416.41861382,21437119.988807984,20530077.458914127,24291783.73327734,24121053.66703326,20700256.57688101,25066081.6550286,24563866.01497478,25444550.29846101,23881258.723942976,25446243.037218306,24569086.021561474,28242533.55588939,23828292.78133533,21649691.785232868,20649074.053459346,24846888.10903854,21050070.92696477,20812152.727727287,19233564.542907085,20156279.169190764,21241803.215858724,
5,332.33216061146555,34.49226666666666,14484629.555717833,14293770.83173569,14052026.347365756,14182934.540800154,14354547.498160398,14430683.65979774,14860648.065964533,14606409.254084405,14417549.801798735,14729466.89191828,15152384.865371773,14728501.387232704,14676115.25779521,14626441.38979007,14787384.295314275,14709722.08558343,14633927.34627505,14613420.49600964,14812262.54374685,14643119.958053533,14529054.885783518,14736107.009986116,14738442.84225487,14338995.092528127,14565690.902411995,11656632.431699365,11789923.005625207,14387830.024984967,14411268.09989571,11750907.334550772,
6,758.569820811093,36.900277777777774,45523001.33529659,4585709.552821946,2663101.282618726,30823501.28153321,62089063.68938353,59653657.31117252,39191159.33103395,36769144.49972166,36012032.17986752,40462690.33942626,40284471.80480348,44184173.61371339,43141754.8083716,36587949.98274232,48226078.06973388,45263576.4917578,54410268.1248438,44529381.402521335,42301539.30843996,503354.8089208974,1409163.9255590837,33881073.10122131,43905711.9752588,1231586.7543823218,4488494.485798341,3475424.449693604,1840124.8024462909,2837924.44324463,1109125.9744116222,4509672.157274778,
7,616.4636791498543,34.232161111111104,4070211.4472265523,4048113.4168847725,3956533.694023437,4018123.1299218494,3977052.0820898376,4018441.336787102,4009955.479506851,4031312.460859357,4081977.496757765,3982437.113750015,4346617.699599603,4209450.688310541,4035767.046044915,3826084.4099023324,4125184.611406224,4010401.756679757,3984824.0798827764,4183082.486777397,3978572.0976074818,4064598.570546858,4018497.192626969,4021757.9815722336,4073171.7716064313,3914631.817978479,4051884.0417676163,3839825.687460917,3965082.229941418,3868136.8250683667,4002364.719521477,3884677.8775829854,
8,674.5054404172239,34.505694444444444,3380186.6340137003,3380732.990571232,3357641.904335956,3340486.859316397,3348411.2864257717,3370538.4439160256,3393719.518320362,3284542.432734356,3433513.8123828038,3329187.566083965,3562643.776093825,3347291.3314062473,3408189.781084002,3326422.981943373,3384387.5301269325,3394591.4354931437,3299668.843437501,3363257.3380565904,3302776.271562458,3266248.861826156,3286938.8209081367,3326454.8878223337,3277970.010273496,3216658.204521513,3291152.4092675517,3374608.7775000627,3268641.539941465,3390197.678339913,3454759.535390651,3330043.4980468717,
9,391.28523344735567,36.35826111111111,9167510.165979054,8953209.426841443,9101056.23876074,8777770.423877537,9198234.014064936,8877638.152612938,11296177.53157223,9705555.045313733,32651384.07434849,9787074.46687131,3990210.333376472,9233608.428417956,9325195.944730254,15675434.027034845,9353417.665620707,9424295.26602538,9607362.126424566,8759793.036921397,9490015.35977597,8980975.004542524,8871155.759031383,8975183.32818117,8699751.890222814,8817347.312517675,9006000.596569834,8889237.514274951,8994676.694458071,9175349.922079507,9211555.997264393,8977106.522423986,
10,393.28561990094977,33.9569611111111,2279965.772944335,1610652.6591064278,1617962.3523388389,1914749.4411987208,1737004.3899731808,2071142.416152329,1985429.8319238524,2311266.4342626533,1560827.7660571218,1857230.2853173583,1862966.3022802388,2052889.2932104275,1909097.5606982564,1799435.9528368816,2120859.471220729,1868249.1970751998,1997074.4491308928,1722498.205747094,1790874.518266632,1786068.7781103454,1861503.906682174,1570167.6670922632,1812959.211870113,1168409.5297168149,1919864.778173832,1003439.176943371,1432609.6220165615,1261778.483437501,1053278.4051904231,1248196.3577929884,
11,337.2364643158686,34.41507222222221,4341252.248129878,4174125.3204247933,4322455.0520959385,4399725.45187376,4444981.417043506,4522352.623939215,4732748.819858358,4508312.243769516,5214574.771824935,4907565.094406753,4987258.984853555,8563698.826006955,8461826.393908678,5015941.800922869,8902339.04126217,8205339.616942115,8243136.463657201,3391929.2378649362,8200867.457360749,3962345.702033678,3961838.711237155,3288596.9018383906,2871523.82795416,10647788.708337447,3752808.3962401855,12368508.720076948,10787562.791803207,11516084.54137474,10823215.088789148,12423693.076878626,
12,360.36292595183187,35.02925555555556,4049905.3621172924,3992773.5207140963,3936169.0103869457,3965231.9919091575,4017654.777594594,4026478.912072738,4214704.246662579,4159431.808840362,4056293.4677026286,4202927.661532582,4359182.305398629,4191205.462759382,4152780.50030455,4151496.8758056574,4189142.6008105692,4212981.300659777,4189392.5339471283,4027076.707230233,4201982.815129404,4018521.006676635,4032922.4811975327,4064477.6254766714,4048749.664617294,4017786.0812267913,4028291.143696282,4037757.726567366,4006693.6749102618,3992098.0287170233,4028133.09542174,3974673.0045520077,
13,732.5504766789853,34.75576111111111,8413404.878591308,3067967.3770362083,3046167.168979476,3209522.6006543487,5464520.880004867,6809417.33495941,7455630.711400143,7479425.889097895,7319249.920126998,7413350.595575848,7530665.235144017,7181961.889563005,8035753.949793718,6871602.27869963,7220347.357984617,7947382.718550393,7590219.353815922,7410690.215976598,8270687.175441296,6654801.257940682,7892755.052596452,6933205.833945305,7614712.353172298,2690223.6576464684,7595803.321670599,2966466.503071277,2539978.381894516,2874717.9996923674,2654980.684462876,2998150.15562984,
14,502.29758859297175,35.035961111111114,3217820.9737548656,3065458.237382798,3435517.348154276,4061807.6185449073,3082364.5716943336,3024534.27489256,1916128.6075878798,1993342.5629101875,1549568.4956542873,1957610.871196277,1495476.706455107,766192.31833496,481736.8099999972,1418986.7517822224,742972.3088183621,696228.1257958943,629879.43287109,1321319.7630908096,794066.1360546886,1255806.8285644457,1465972.5165087774,1285298.8573315404,1229227.706816399,2459532.8354980317,1183044.928227532,2048835.6506542843,2626004.4113281104,1846454.4825097544,2432564.5435839747,2166543.5737231714,
15,558.4203530787515,33.915016666666666,4565188.609272453,4365387.899267602,4057321.503415518,5068104.994101529,5633967.794097303,4310147.46316405,4410747.031035138,4481230.52722655,4533414.587412129,4436648.192978516,4559178.536611305,4436706.247138695,4499513.08018554,4205381.025087863,4409270.854746085,4303989.144384796,4447135.592526878,5421041.45202151,4333568.478281264,4486384.470557865,4391972.6449072715,5465764.192822227,4969517.140888624,5446410.238679241,4427642.468193387,4399698.454570296,4316129.701999475,5401904.329878497,5356225.428286109,5419934.66233886,
16,301.1442903960203,35.676972222222226,2022280.095673881,2075441.1800537203,2163344.386535635,2090197.9827807408,2035586.2161132856,2028967.9849902582,1667948.002907736,1785403.9742334124,1449487.0825244053,1861173.680534633,1489553.2647412026,2104312.5222949157,2064305.7820312371,1510448.2379833912,2149964.1278466955,2162305.458544871,2160745.684174792,2102211.366591784,2155466.778500969,2112349.8542809943,2101537.4944384643,2043419.841743152,2066254.08828612,2151253.802353494,2038254.4087646503,2180256.5749414028,2136103.2685302827,2197143.641977528,2118664.5019897344,2108552.849287104,
17,790.5879066613097,35.00576666666667,2048271.0035546748,1957113.5009374882,2004735.6155078004,1953622.9471874882,2039749.335048828,1882314.323789051,2276789.827841784,2236350.3299609963,2199702.4668847583,2296287.888642569,2415820.58575198,2355426.770263658,2335557.282304676,2158066.3565429607,2283803.9846924087,2309290.097812489,2340673.6780175692,1739643.6784374898,2281490.8602148504,1744343.1877343643,1591858.9992968654,1892386.8672656137,1608212.8419531153,1612728.5559374904,1591925.2269531155,1839643.3104687387,1613752.9021874904,28838.477680663887,1549395.2747656156,1885708.4321875104,
18,621.4191802239973,34.228805555555546,2218355.896503893,2182148.3126171967,2282161.8578124973,2213873.4113671747,2283592.4586132783,2282334.276376944,2475702.955195323,2424679.2765038917,2506359.968984345,2457906.6896484485,2445961.909570313,2425948.318310541,2374949.7416406283,2526421.282792958,2435586.8481835783,2481975.173212937,2442201.490507783,2424354.187031278,2477367.506308635,2429176.404511704,2329514.833945329,2518963.661757794,2462930.4842187357,2444019.338886696,2458083.8291015886,2491780.5129882703,2438606.003554698,2432695.049570321,2436085.1062304643,2451245.4688769383,
19,320.1720051516947,33.95528333333333,27842128.95077085,26985651.97118531,27243330.13749206,27303381.868122566,25958477.923528425,27748122.453976445,27616740.834296864,28394234.05460389,28644762.381488685,27580496.94631107,28463861.73331908,25809626.69738281,26141377.67484371,27051219.82792481,27513468.263698723,27631528.9146033,27049028.37308596,27160069.95026673,27720029.448918454,26599629.44158753,26198338.89839233,25981147.96173947,25741613.62820553,26130285.096294586,26501744.88764892,25746988.774709456,26173770.332120366,27244986.16425108,25767533.390919186,25920418.93365052,
20,679.4609491787602,34.500661111111114,1824053.322988297,1806189.735234341,1773775.1978320426,1834499.0855273416,1778535.8253320206,1799526.584941413,1992702.1798828437,2005758.7437304563,1977413.9229492173,2028778.0876660037,2140437.032285201,1935953.351279297,1923506.235859388,2031583.432207041,1909137.3562499885,1886373.191992176,2011864.1538769547,2031566.7566601203,2035868.1043847397,2004318.2951562381,1998496.6653417519,1956055.7769043418,1987430.2133203496,2055689.317519551,1937143.7276171662,2006188.8666406653,2038909.7983691785,2016625.628310592,2079105.5316699385,1975296.3809667956,
