ATTRIBUTE_AcquisitionDate	ATTRIBUTE_AnimalModel	ATTRIBUTE_IngExp	ATTRIBUTE_SampleType	ATTRIBUTE_Time	G1	G2	G3	G4	G5	G6	GNPSGROUP:0h	GNPSGROUP:1h	GNPSGROUP:2020.05.12	GNPSGROUP:2020.05.25	GNPSGROUP:2h	GNPSGROUP:30min	GNPSGROUP:4h	GNPSGROUP:Dog	GNPSGROUP:Dog_4h	GNPSGROUP:Dog_Blank	GNPSGROUP:Human	GNPSGROUP:Human_0h	GNPSGROUP:Human_1h	GNPSGROUP:Human_2h	GNPSGROUP:Human_30min	GNPSGROUP:Human_4h	GNPSGROUP:Human_Blank	GNPSGROUP:Human_NoNGS	GNPSGROUP:Monkey	GNPSGROUP:Monkey_4h	GNPSGROUP:Monkey_Blank	GNPSGROUP:Mouse	GNPSGROUP:Mouse_4h	GNPSGROUP:Mouse_Blank	GNPSGROUP:Rat	GNPSGROUP:Rat_4h	GNPSGROUP:Rat_Blank	GNPSGROUP:blank	GNPSGROUP:control	GNPSGROUP:nan	GNPSGROUP:sample	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72104760.55344309	0.0	0.0	69403948.23145564	79018412.7620895	78942969.80549476	79093855.71868424	78404190.37450409	0.0	0.0	0.0	0.0	78391016.683344	78417364.06566419	0.0	77800554.99682574	77557387.34067343	78043722.65297805	49561025.12875219	36479257.23382807	62642793.02367631	75739619.50504392	75649110.09393793	75830128.91614993	74805572.87543054	0.0	74805572.87543054	69403948.23145564	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1.0","main.cluster index_upperinput":"1.0"}	This Node is a Singleton	N/A	N/A	N/A	33.9251	33.9251	0	N/A	N/A	2163142816.6032934	30	1	-1	30	568.2995	1	568.2995	2163142816.6032934
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70593013.49403177	0.0	0.0	70262620.72469647	68635153.37630227	69504813.88406597	67765492.86853859	73375256.75023021	0.0	0.0	0.0	0.0	71773509.36668767	74977004.13377273	0.0	69927648.95469923	68588183.96272606	71267113.94667241	70405752.00687383	70828269.70730528	69983234.30644238	70621256.38205329	70618326.7026974	70624186.06140918	70923406.26336706	0.0	70923406.26336706	70262620.72469647	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=3716d02d96b942c591bb813d9b336342&show=true	N/A	N/A	N/A	33.9184	33.9184	0	N/A	N/A	2117790404.8209534	30	2	15	30	573.2548	1	573.2548	2117790404.8209534
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7978227.332372805	0.0	0.0	8414326.285113214	8675734.866136033	8613379.934067376	8738089.79820469	7675295.84563119	0.0	0.0	0.0	0.0	9152829.234638471	6197762.456623908	0.0	6230951.655036842	6505637.860684811	5956265.449388874	9071815.34873575	9360982.009194247	8782648.688277252	8237338.946324212	8438802.38698116	8035875.505667263	7542128.379632398	0.0	7542128.379632398	8414326.285113214	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3.0","main.cluster index_upperinput":"3.0"}	This Node is a Singleton	N/A	N/A	N/A	34.2103	34.2103	0	N/A	N/A	239346819.9711841	30	3	-1	30	304.2997	1	304.2997	239346819.9711841
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23364883.99986025	0.0	0.0	23455886.942975763	25656995.494476445	27084037.764323566	24229953.224629328	21318378.83497449	0.0	0.0	0.0	0.0	22043507.518479325	20593250.15146965	0.0	24822263.067665547	24492973.0184464	25151553.116884697	24502958.496166762	23119747.763503727	25886169.2288298	20523824.106017996	20539168.650125798	20508479.561910193	23273881.056744736	0.0	23273881.056744736	23455886.942975763	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4.0","main.cluster index_upperinput":"4.0"}	This Node is a Singleton	N/A	N/A	N/A	1.8049	1.8049	0	N/A	N/A	700946519.9958075	30	4	-1	30	381.0813	1	381.0813	700946519.9958075
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14290026.590074556	0.0	0.0	14369694.227900712	14299765.405596262	14176243.906633867	14423286.904558657	14732150.0448213	0.0	0.0	0.0	0.0	14732174.737322405	14732125.352320192	0.0	14724652.15265792	14730666.980114063	14718637.325201776	14637639.349083278	14695990.116083542	14579288.582083015	13055925.998214025	13513395.399349682	12598456.597078368	14210358.952248402	0.0	14210358.952248402	14369694.227900712	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5.0","main.cluster index_upperinput":"5.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=3716d02d96b942c591bb813d9b336342&show=true	N/A	N/A	N/A	34.4923	34.4923	0	N/A	N/A	428700797.70223665	30	5	4	30	332.3322	1	332.3322	428700797.70223665
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28529797.04293384	0.0	0.0	27769621.119281087	34223005.74213775	12690770.70565796	55755240.778617546	38217908.02293253	0.0	0.0	0.0	0.0	38807664.723393954	37628151.322471105	0.0	46254565.06947674	45184002.163939625	47325127.97501385	21452863.283213295	40772055.49300048	2133671.0734261074	2500643.0969088743	1393612.5104134115	3607673.683404337	29289972.96658659	0.0	29289972.96658659	27769621.119281087	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6.0","main.cluster index_upperinput":"6.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=19&task=3716d02d96b942c591bb813d9b336342&show=true	N/A	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	0.9195399999999999	36.9003	36.9003	0	N/A	CCMSLIB00003140150	855893911.288015	30	6	19	30	758.5698	1	758.5698	855893911.288015
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4019959.041656411	0.0	0.0	4038464.5765403598	4014745.8511555917	4007590.080276686	4021901.622034497	4046397.443395987	0.0	0.0	0.0	0.0	4007901.684705408	4084893.202086567	0.0	4057366.7133219494	4123467.4485872267	3991265.9780566716	4068832.0074829175	4092670.7466520206	4044993.2683138144	3912453.1929256073	3960692.922480458	3864213.4633707567	4001453.5067724613	0.0	4001453.5067724613	4038464.5765403598	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7.0","main.cluster index_upperinput":"7.0"}	This Node is a Singleton	N/A	N/A	N/A	34.2322	34.2322	0	N/A	N/A	120598771.24969232	30	7	-1	30	616.4637	1	616.4637	120598771.24969232
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3349728.8320380934	0.0	0.0	3342261.4286657	3362999.686429847	3359620.584741195	3366378.7881184993	3388338.3479264476	0.0	0.0	0.0	0.0	3335816.5057128943	3440860.1901400005	0.0	3356150.865518381	3379956.2142057274	3332345.5168310343	3302003.7213590443	3322560.74538414	3281446.697333948	3339151.538956746	3313353.093284543	3364949.9846289493	3357196.2354104863	0.0	3357196.2354104863	3342261.4286657	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8.0","main.cluster index_upperinput":"8.0"}	This Node is a Singleton	N/A	N/A	N/A	34.5057	34.5057	0	N/A	N/A	100491864.9611428	30	8	-1	30	674.5054	1	674.5054	100491864.9611428
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10032442.742337875	0.0	0.0	9266091.562104762	9012569.737022774	8944012.029826574	9081127.444218976	13850972.579752848	0.0	0.0	0.0	0.0	10262935.681252424	17439009.478253268	0.0	9405649.131832473	9304074.012922972	9507224.250741972	8882143.269244853	8811576.08510846	8952710.453381248	9010878.99383643	9007860.001413379	9013897.986259481	10798793.922570989	0.0	10798793.922570989	9266091.562104762	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9.0","main.cluster index_upperinput":"9.0"}	This Node is a Singleton	N/A	N/A	N/A	36.3583	36.3583	0	N/A	N/A	300973282.27013624	30	9	-1	30	391.2852	1	391.2852	300973282.27013624
2020.05.25	Dog,Human,Rat,Monkey,Mouse	Human_Blank,Monkey_4h,Human_4h,Rat_Blank,Dog_4h,Dog_Blank,Mouse_4h,Mouse_Blank,Rat_4h,Monkey_Blank	sample,blank	nan,4h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1739615.0738922518	0.0	0.0	1742670.6647273689	1871912.838618972	1714454.8175479958	2029370.8596899481	1896192.7621130177	0.0	0.0	0.0	0.0	2051308.850501288	1741076.6737247475	0.0	1956507.4149336896	2027615.4417098043	1885399.388157575	1778843.7579459702	1701875.0282364902	1855812.4876554504	1194618.59584961	1218099.1856412664	1171138.0060579535	1736559.4830571348	0.0	1736559.4830571348	1742670.6647273689	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3716d02d96b942c591bb813d9b336342&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10.0","main.cluster index_upperinput":"10.0"}	This Node is a Singleton	N/A	N/A	N/A	33.9570	33.9570	0	N/A	N/A	52188452.21676755	30	10	-1	30	393.2856	1	393.2856	52188452.21676755
