row.ID,row.m.z,row.retention.time,s200525_Dog_Blank_01.mzXML.Peak.area,s200525_Dog_4h_02.mzXML.Peak.area,s200525_Dog_4h_03.mzXML.Peak.area,s200525_Dog_4h_01.mzXML.Peak.area,s200525_Dog_Blank_03.mzXML.Peak.area,s200525_Dog_Blank_02.mzXML.Peak.area,s200525_HUMAN_4h_01.mzXML.Peak.area,s200525_HUMAN_4h_02.mzXML.Peak.area,s200525_HUMAN_Blank_02.mzXML.Peak.area,s200525_HUMAN_4h_03.mzXML.Peak.area,s200525_HUMAN_Blank_01.mzXML.Peak.area,s200525_Mk_4h_02.mzXML.Peak.area,s200525_Mk_4h_03.mzXML.Peak.area,s200525_HUMAN_Blank_03.mzXML.Peak.area,s200525_Mk_4h_01.mzXML.Peak.area,s200525_Mk_Blank_02.mzXML.Peak.area,s200525_Mk_Blank_03.mzXML.Peak.area,s200525_Mou_4h_01.mzXML.Peak.area,s200525_Mk_Blank_01.mzXML.Peak.area,s200525_Mou_Blank_01.mzXML.Peak.area,s200525_Mou_Blank_02.mzXML.Peak.area,s200525_Mou_4h_03.mzXML.Peak.area,s200525_Mou_4h_02.mzXML.Peak.area,s200525_Rat_4h_02.mzXML.Peak.area,s200525_Mou_Blank_03.mzXML.Peak.area,s200525_Rat_Blank_02.mzXML.Peak.area,s200525_Rat_4h_01.mzXML.Peak.area,s200525_Rat_Blank_03.mzXML.Peak.area,s200525_Rat_4h_03.mzXML.Peak.area,s200525_Rat_Blank_01.mzXML.Peak.area
168,10308,491.210397031278,18.7202277777778,14868.2070082093,50556664.2685296,49814882.4081757,49898766.0948791,930.719699859592,3099.5464472961,15553948.5597772,15335392.7812768,761.554039611807,15363584.9332287,6027.90538452158,19136986.6169555,18994903.3438653,6236.83395935061,18946847.5081873,7640.66987304688,13855.7267394256,25142991.0539441,13190.9060214234,25506.575975342,2046.37225036619,24678612.7475067,24699326.55863,6395522.38688658,15612.726626587,4087.59884262093,6439644.69786012,11133.6807051087,6398598.86997286,1899.7974127197
169,10309,475.216109767045,17.2880111111111,5363.15856521607,25547975.7831712,27556043.0574982,26403724.5978806,4519.89249343878,12572.8434651185,36311005.3191029,37106975.9720174,4767.75301422129,37533231.3109036,4044.22687156677,3073249.40654572,3168067.95770143,2505.51891441345,2821477.27673736,16622.0122938539,24283.9535421753,39608806.595662,12736.3930358886,33680.6721569822,12577.8722407532,40239766.7484803,40673151.1071162,2449276.46433228,23231.1799420165,10540.3401795959,1809089.79013366,8853.35072082516,1882492.66964782,2495.95825820935
171,10311,461.201072928123,17.1750769230769,0,13598552.4687744,13466247.3262156,13451251.3218921,0,0,10937667.308304,11039678.8308853,1495.42505310057,11042917.6658582,611.90936660767,5802743.18783077,5595758.48419213,851.708283996588,5246294.24698788,0,1513.43869384765,8835718.89259627,640.466490783683,3229.98103408815,1266.1175441742,8775378.50675485,8635262.22506215,37679163.7851037,1978.24909896849,673.659855651894,38219546.5587993,768.67045837404,37320996.3461767,823.795070648228
172,10312,449.198553717635,12.5019097701149,1549.10187280276,5716469.11267511,5550445.77572413,5843788.73803995,985.621034317031,678.931192016606,13913816.597735,13549746.738353,754.298089141839,13819524.3736263,1354.32408716584,23456856.6344859,23510521.7106059,0,23397480.2498281,3652.92168283081,6764.79101907349,5181335.01812167,3535.67545809936,4780.41335034182,940.133271041877,5044573.1915257,4916129.93357302,2399777.83024826,4577.20167802429,4858.47234194946,2422325.91315014,6104.81602079766,2400195.50280249,8103.79322248846
178,10319,513.19074089682,18.7052916666667,0,3621914.9647879,3592259.54930054,3554730.83232208,0,0,1192025.45705322,1214854.08287781,0,1183713.80742065,0,1481984.4272348,1458506.87730041,0,1466508.01604248,0,0,2087355.86847412,0,808.497169189471,0,2129382.49466003,2018473.22523376,584074.20567871,0,0,582030.87186432,0,584809.945594484,0
179,10320,377.130887587027,12.4253525,0,2692875.05636804,2639008.51169464,2567449.44421005,784.185851745599,0,8685437.50459406,8746832.56758093,0,8759007.71335397,0,4045441.60736413,4045200.99455902,0,4026091.72686158,0,632.256833618177,3829489.5760008,613.794178276071,4307.17927133179,0,3890874.06242465,3774963.33221597,1698658.12543314,611.350526504525,0,1747427.50046994,0,1754063.79288742,0
183,10324,447.18252150219,9.20802321428572,1598.63991178131,1245908.39500964,1176851.44920227,1226666.1293175,674.191878547666,0,108506.503546997,99259.934860199,713.015110702512,102779.208053528,767.465815315258,369424.251829162,380759.564266815,610.656161590582,387674.46145636,2212.6829830322,2721.19264396667,135552.78852121,3348.46021191404,608.505895065312,0,130864.409373688,136059.873536621,414770.675487122,1248.87157011416,19202.8670340576,418870.176737549,31001.4125344238,407256.985810944,13506.9013316651
184,10325,435.184073560672,11.8227861111111,657.682643737791,1312933.26227173,1231429.07119937,1283697.16357276,0,0,1757179.92316016,1647978.61446475,1425.74562463378,1730577.46149539,766.179340774524,7156179.53737878,7075844.09696728,677.071915740961,7154785.27275823,1160.75723625185,933.31723565673,2205261.22734342,725.064156417857,1414.09546028136,1290.83402389526,2175606.93934302,2135664.31544787,9737535.68441973,0,0,9732623.57344068,0,9845309.67430654,0
186,10329,477.193322485187,26.1370083333333,0,1581062.99533508,1482790.18731812,1497789.29663543,0,834.325044555653,1065594.0426477,1025107.18970581,0,1094534.82085266,0,1037551.27278808,998989.682033078,882.710102844213,922810.747264406,0,946.591349029547,916895.296656802,988.464580078112,0,0,943125.211377255,915205.838544923,3643498.9946118,0,0,3691866.63767456,0,3569520.82982178,825.515912475633
191,10336,477.19413824409,10.0081546296296,0,720897.657409088,680902.738058107,716706.46645346,0,0,63704.007588501,64339.9938041689,0,65346.0185050964,880.021056976315,318099.388053772,309932.205641693,0,313477.394741181,825.248826110833,0,239678.638722076,0,640.91785972595,0,230164.092203613,221827.53804483,8633.14709787756,0,0,14584.3921331482,0,13134.8512550049,0
193,10340,461.198722061061,9.23706666666667,0,596510.614747497,607744.191117461,609164.217974181,0,0,369765.143826904,373167.716795838,0,370165.702290283,0,141251.056610504,134350.785908814,810.581501892083,124183.849815155,729.204920257562,0,457712.882310303,0,0,0,450204.132930084,459045.270946198,799.391571121213,0,0,0,627.846270660403,0,0
207,10475,473.200321188029,18.446125,2469.2428907776,477669.50770111,448388.771583252,436670.917557068,743.166884231572,885.484742736822,1508352.91599274,1418550.29481903,1961.69554656982,1422892.00430389,2615.25249053955,171730.013291931,164325.094707336,1387.14833145147,164151.339220581,0,682.557740783682,392406.70023346,852.1336254883,976.802263183581,3100.01048370367,354648.722516174,409672.725143128,26992.4459780883,1135.12201843258,0,23143.2547631837,1734.00588256834,32014.8366128541,2683.7392103577
208,10502,463.178621059369,20.92705,1390.57518157962,223109.736999206,218588.150316772,224275.538603821,0,0,612703.407925108,586893.945984499,0,603390.221570739,0,1355861.06273834,1331170.42239624,667.050303268437,1346171.67940918,606.177905883781,0,634974.172866516,0,0,0,626388.786095885,604195.308224792,1567328.32794495,0,0,1571854.42371582,764.087971496572,1552406.18545777,615.650505447392
209,10516,475.180466405021,23.4417777777778,0,180312.056729126,145661.453966065,154361.260598144,0,1077.09450912476,471866.493120729,444609.202358398,0,454692.73822876,0,1867232.04803956,1851359.37969483,0,1877835.7634497,0,1423.92999999998,263875.688790588,0,0,0,251132.202282716,264516.606083985,2403460.57525604,0,0,2403374.60651977,746.850879669194,2395266.70520172,0
211,10574,475.179466961723,26.6745625,0,175080.776387939,167521.004078065,177438.996233825,0,0,691675.574074707,652629.897397463,0,682899.759630125,0,1261913.57582519,1205989.73046631,0,1199788.39300598,0,0,348605.232070924,2203.08770751955,0,0,351048.721976318,351794.311842652,558536.599251708,0,0,558322.62307251,0,553878.685847168,0
214,10808,505.189188575964,25.5613636363636,0,174332.171253662,162166.292841187,162521.352507629,0,639.515261077862,449130.60142456,450554.378349305,939.282947387683,454659.018713989,0,634606.883485106,616934.920737304,0,624814.644703981,0,1729.47099792478,382762.485150758,1046.48640380862,0,0,400233.887113952,389415.500079956,44119.4466760251,0,2830.19362747188,51281.7874157715,847.817547607398,48779.8586730958,2392.88334442138
215,10872,436.168752781836,21.6871666666667,0,119631.747696533,108062.393937989,112038.721567382,0,0,689494.76025635,677755.369558104,0,708962.72055542,0,3208650.88950928,3113598.09858399,0,3256512.34902587,0,0,767218.37558838,0,0,0,775611.300388183,754776.882518313,2698388.97430175,0,0,2709767.52786865,0,2721554.56947754,0
216,10898,477.195211251833,24.038625,774.826952514638,260685.375192261,246081.966013184,250276.144918213,712.221147155766,761.333685684209,1037949.00677307,1016759.21730042,1082.32466491698,1062520.57042969,0,1408696.76428589,1396193.76211548,0,1330155.37965637,1355.50370117186,1195.75227584835,443488.615594177,860.516964111317,0,0,435219.553040466,428183.710958557,344356.782707519,909.39750000002,0,341386.274095459,0,328450.55425293,721.780000000016
217,10913,491.208796241216,6.02659035087719,943.511899139398,80147.7753966064,74538.5780258485,83663.8146506043,663.862359352116,0,486709.001577835,475480.982306031,0,428024.273786255,0,349937.335274002,335051.397196205,0,319920.916927163,0,0,1336177.40795301,0,0,0,1293303.65804871,1358574.7254046,57128.2668899231,0,624.418095352169,53503.5916156921,0,48892.0104052124,612.327091346736
220,11128,465.195087924004,15.4688035087719,0,101349.065225494,87598.700209076,86055.491782898,0,0,32057.9767969056,33053.677274231,779.969979309084,30481.8671347657,0,142865.899208801,148781.78870816,0,147085.233528534,0,0,43049.6216208191,0,647.119113235472,0,34485.8797246399,36575.0986270751,33266.4412586059,0,0,32509.7851981506,722.079243965134,26725.6348920899,667.191679588323
221,11143,435.182786137348,5.67880833333333,0,65700.4588023682,62949.3210076294,70890.8662778931,634.804095268248,665.107234375001,33209.0391103821,32762.6184455566,657.22297927857,30826.5925197754,0,968683.17384018,959901.808277435,0,1013241.48682812,0,0,10517.6280148316,665.167984054567,0,0,10713.0086854553,10296.3859796448,0,777.591827087402,0,0,0,2034.15132618713,0
229,11885,421.166713695483,5.28609821428571,2417.16150282287,43983.5942947388,45478.8126109619,44600.9506044923,1116.63427868653,1712.27156533813,14327.004488678,13806.9610788574,0,15066.566182785,2169.64532125091,228882.046678833,226064.220398254,766.689552612298,238658.781545288,6242.91267210389,919.189791442879,31395.4553532715,4033.08813694,882.591847900391,0,31217.2966948853,36231.4501016236,81574.0220631103,937.284999999991,9962.21747209167,83499.7886376343,4580.65616900636,81959.9687365874,14977.1073062744
231,11921,489.196618374608,30.233475308642,0,87819.1207312012,87087.2392282104,80086.4463879395,1840.23849304197,1550.63680541994,152907.653276367,148723.442439575,1199.93768386846,151289.447727661,1312.85544662472,30580.7078485108,30261.7474572755,0,37789.5306640625,1464.6109672546,1243.74036331173,489163.074788817,1103.45378967284,758.548509216299,1180.62229080197,499847.550141603,486449.867486878,280736.647681885,980.629338073737,984.186922607444,285783.677568969,970.196566162097,280770.197758789,0
